depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,22:25:00,sample,phe-val-arg-amc,1,killed,800,413.04
68.12,22:25:00,sample,phe-val-arg-amc,2,killed,800,392.34
68.12,22:25:00,sample,phe-val-arg-amc,3,killed,800,398.03
68.12,22:25:00,standard,mub-po4,NA,buffer,800,262395.46
68.12,22:25:00,standard,mub-xylo,NA,buffer,800,5754.9
68.12,22:25:00,standard,mub-cell,NA,buffer,800,14137.92
68.12,22:25:00,standard,mub-nag,NA,buffer,800,45484.56
68.12,22:25:00,standard,mub-b-glu,NA,buffer,800,3005.81
68.12,22:25:00,standard,mub-a-glu,NA,buffer,800,4775.27
68.12,22:25:00,standard,leu-amc,NA,buffer,800,143353.7
68.12,22:25:00,standard,arg-amc,NA,buffer,800,207470.96
68.12,22:25:00,standard,pro-amc,NA,buffer,800,173838.68
68.12,22:25:00,standard,orn-amc,NA,buffer,800,732075.43
68.12,22:25:00,standard,phe-arg-amc,NA,buffer,800,395319.43
68.12,22:25:00,standard,phe-val-arg-amc,NA,buffer,800,481041.62
68.12,22:25:00,standard,mub-std,NA,buffer,40,
68.12,22:25:00,standard,amc-std,NA,buffer,40,
68.12,22:25:00,calib,mub-std,NA,live,0,47.8
68.12,22:25:00,calib,mub-std,NA,live,16,3611.47
68.12,22:25:00,calib,mub-std,NA,live,32,7445.65
68.12,22:25:00,calib,mub-std,NA,live,48,16923.25
68.12,22:25:00,calib,mub-std,NA,live,64,26449.69
68.12,22:25:00,calib,mub-std,NA,live,80,
68.12,22:25:00,calib,amc-std,NA,live,0,76.88
68.12,22:25:00,calib,amc-std,NA,live,16,8326.84
68.12,22:25:00,calib,amc-std,NA,live,32,13793.56
68.12,22:25:00,calib,amc-std,NA,live,48,22989.86
68.12,22:25:00,calib,amc-std,NA,live,64,29639.48
68.12,22:25:00,calib,amc-std,NA,live,80,38757.19
